OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,REPORT_AC,GIS_ACRES,OBJECTIVE,SHAPEAREA,SHAPELEN
21803,2020,CA,BLM, ,POWER,00000726,2020/05/29 00:00:00+00,2020/06/12 00:00:00+00,18,17.04560089,1,97760.85555905,1788.22585994223
21804,2020,CA,DOD,MCP,CREEK 5,00020846,2021/12/30 00:00:00+00,2021/12/31 00:00:00+00,,3052.17236328,1,17761235.5180362,30411.7942165851
21806,2020,CA,CDF,CZU,BRUNO,00001332,2020/02/28 00:00:00+00,2020/02/28 00:00:00+00,5,6.78966522,1,43968.58067222,915.539069962212
21807,2020,CA,CCO,ORC,LIVE OAK,20094983,2020/08/22 00:00:00+00,2020/08/22 00:00:00+00,1.79,1.66968942,1,9782.49385,639.086899699758
21808,2020,CA,CDF,ORC,WILLIAMS,20088756,2020/08/07 00:00:00+00,2020/08/08 00:00:00+00,12.1,7.8091197,1,45806.50785,1017.77716979132
21809,2020,CA,CCO,ORC,HIGHLAND,20103543,2020/09/12 00:00:00+00,2020/09/12 00:00:00+00,5,1.15438843,1,6740.50925,422.235614514975
21810,2020,CA,CCO,ORC,WINDY RIDGE FIRE,20086007,2020/07/31 00:00:00+00,2020/07/31 00:00:00+00,0,1.74275804,1,10249.5121,605.626977242324
21811,2020,CA,CCO,ORC,NICHOLS,20077201,2020/07/09 00:00:00+00,2020/07/10 00:00:00+00,7.4,8.11941624,1,47444.49860001,1127.39456155882
21812,2020,CA,CCO,ORC,LAGUNA,20066376,2020/06/12 00:00:00+00,2020/06/12 00:00:00+00,6.7,7.16236162,1,41901.49424999,1951.17456002467
21813,2020,CA,CDF,SKU,GUYS,00001500,2020/02/27 00:00:00+00,2020/02/27 00:00:00+00,2.8,2.80249,1,20313.59978568,847.719182985232
21814,2020,CA,CDF,SKU,ORR,00004371,2020/06/18 00:00:00+00,2020/06/18 00:00:00+00,3,3.50306201,1,25465.049711735,644.662274242129
21815,2020,CA,CDF,SKU,LIBERTY,00005419,2020/07/20 00:00:00+00,2020/07/20 00:00:00+00,8,8.05559444,1,58474.109972635,1378.9396919283
21816,2020,CA,CDF,SKU,MARTIN,00005914,2020/08/02 00:00:00+00,2020/08/02 00:00:00+00,2,2.3604331,1,17085.1613428,736.994901254134
21817,2020,CA,CDF,SKU,SPRING,00002451,2020/04/03 00:00:00+00,2020/04/03 00:00:00+00,1.7,1.74933267,1,12521.46070505,498.760020484983
21818,2020,CA,CDF,SKU,RED 3-1,00005564,2020/07/24 00:00:00+00,2020/07/24 00:00:00+00,2,1.28821087,1,9374.168328835,401.956329256023
21819,2020,CA,CDF,SKU,NOYES 1-14,00005720,2020/07/28 00:00:00+00,2020/07/28 00:00:00+00,8,8.12013054,1,58507.50271865,1083.49792646927
21820,2020,CA,CDF,SKU,MOFFETT,00004369,2020/06/18 00:00:00+00,2020/06/18 00:00:00+00,1,1.07046103,1,7759.69174347,341.002593650151
21821,2020,CA,CCO,KRN,SIERRA,02022641,2020/06/06 00:00:00+00,2020/06/06 00:00:00+00,1.13498506,1.13424432,1,6986.30432983,497.999519635648
21822,2020,CA,CCO,KRN,CROSS,02023544,2020/06/11 00:00:00+00,2020/06/11 00:00:00+00,6.08159792,6.08159637,1,36961.962790265,804.765422271331
21823,2020,CA,CCO,KRN,EXTENSION INC,02029285,2020/07/12 00:00:00+00,2020/07/11 00:00:00+00,3.24627944,3.24627829,1,19846.067919445,643.119496113604
21824,2020,CA,CCO,KRN,CAMELOT ,02029945,2020/07/15 00:00:00+00,2020/07/15 00:00:00+00,9.61966854,9.61945438,1,58281.18569066,1464.91527858477
21825,2020,CA,CCO,KRN,,02029986,2020/07/16 00:00:00+00,2020/07/16 00:00:00+00,1.41028234,1.41028237,1,8607.034894625,398.903753358864
21826,2020,CA,CCO,KRN,,02029923,2020/07/15 00:00:00+00,2020/07/15 00:00:00+00,1.80534117,1.80730283,1,10968.23235142,526.383828041463
21827,2020,CA,CCO,KRN,OUTLET,02029995,2020/07/16 00:00:00+00,2020/07/16 00:00:00+00,1.066875,1.06687462,1,6444.55181048,596.157021781955
21828,2020,CA,CCO,KRN,178,02031741,2020/07/25 00:00:00+00,2020/07/25 00:00:00+00,7.22246538,7.22246456,1,44084.92131141,1326.49851229111
21829,2020,CA,CCO,KRN,TRAIL,02033316,2020/08/03 00:00:00+00,2020/08/03 00:00:00+00,2.47683958,2.47689271,1,15057.215630005,745.032725583665
21830,2020,CA,CCO,KRN,,02027852,2020/07/04 00:00:00+00,2020/07/04 00:00:00+00,9.32473901,9.18317604,1,56002.5555507,1003.40052138452
21831,2020,CA,CCO,KRN,WOFFORD ,02042294,2020/09/28 00:00:00+00,2020/09/28 00:00:00+00,5.78886355,5.78886127,1,35604.81629214,788.094357110134
21832,2020,CA,CCO,KRN,SABODAN,02045671,2020/10/20 00:00:00+00,2020/10/20 00:00:00+00,3.02440975,3.02440882,1,18291.766760575,752.061437244737
21833,2020,CA,CDF,MMU,DONALD,00012523,2020/06/18 00:00:00+00,2020/06/18 00:00:00+00,2,1.37965965,1,8933.6948615,380.582639629995
21834,2020,CA,CCO,SBC,MOCKINGBIRD,02012134,2020/06/12 00:00:00+00,2020/06/12 00:00:00+00,9,8.8859911,1,52979.103574885,1631.69854518033
21835,2020,CA,CCO,SBC,RANCHO,02016069,2020/08/02 00:00:00+00,2020/08/02 00:00:00+00,1.5,1.53284478,1,9229.664779715,546.406257624567
21836,2020,CA,CDF,SLU,HUASNA,00005504,2020/05/05 00:00:00+00,2020/05/05 00:00:00+00,2,1.82043886,1,11021.98270998,498.955716312835
21837,2020,CA,CDF,SLU,BISHOP,00006447,2020/05/26 00:00:00+00,2020/05/26 00:00:00+00,1.54,1.47037196,1,8954.81605403,586.0707741567
21838,2020,CA,CDF,SLU,CAMATTA,00007313,2020/06/13 00:00:00+00,2020/06/13 00:00:00+00,2,2.13903642,1,13087.43036568,582.33493993943
21839,2020,CA,CDF,SLU,DAIRY,00007813,2020/06/23 00:00:00+00,2020/06/23 00:00:00+00,3,2.58218026,1,15738.1881887,839.6045175888
21840,2020,CA,CDF,SLU,FARM,00007726,2020/06/21 00:00:00+00,2020/06/21 00:00:00+00,2,2.24103904,1,13626.502637715,464.660092883811
21841,2020,CA,CDF,SLU,LINNE,00006576,2020/05/29 00:00:00+00,2020/05/29 00:00:00+00,6,6.545331,1,40162.799077655,964.07687198637
21842,2020,CA,CDF,SLU,JACK,00007272,2020/06/12 00:00:00+00,2020/06/12 00:00:00+00,6,5.79798317,1,35676.15928331,1180.3899421717
21843,2020,CA,CDF,SLU,SHERRY,00006979,2020/06/07 00:00:00+00,2020/06/07 00:00:00+00,1,1.0090965,1,6199.03660179,320.354652760822
21844,2020,CA,CDF,SLU,CAMATTA,00008623,2020/07/08 00:00:00+00,2020/07/08 00:00:00+00,8,7.91018057,1,48416.88185563,1367.62429591798
21845,2020,CA,CDF,SLU,VENICE,00008775,2020/07/11 00:00:00+00,2020/07/11 00:00:00+00,3,3.35979056,1,20581.61330314,816.441287641957
21846,2020,CA,CDF,SLU,MACK,00008799,2020/07/11 00:00:00+00,2020/07/11 00:00:00+00,1,1.20235419,1,7370.84084848,343.942660130583
21847,2020,CA,CDF,SLU,WEBSTER,00008567,2020/07/06 00:00:00+00,2020/07/06 00:00:00+00,4,4.8722167,1,29807.05469197,1122.81397086244
21848,2020,CA,CDF,SLU,SHED,00010066,2020/08/05 00:00:00+00,2020/08/05 00:00:00+00,5,6.06673098,1,37202.9583439,891.886249104253
21849,2020,CA,CDF,SLU,CREEK,00006543,2020/05/28 00:00:00+00,2020/05/28 00:00:00+00,2,2.01405597,1,12310.301994945,570.681372947556
21850,2020,CA,CDF,SLU,MUSTARD,00008754,2020/07/10 00:00:00+00,2020/07/10 00:00:00+00,2,1.80682766,1,11103.301268275,668.045946112726
21851,2020,CA,CDF,SLU,RESERVOIR,00014468,2020/11/02 00:00:00+00,2020/11/02 00:00:00+00,8,8.03186321,1,48884.49116644,1039.32726406049
21852,2020,CA,CDF,SLU,PRICE,00006674,2020/05/31 00:00:00+00,2020/05/31 00:00:00+00,1,1.05754459,1,6419.93711106,301.826163226177
21853,2020,CA,CDF,SLU,RANCHO,00006660,2020/05/31 00:00:00+00,2020/05/31 00:00:00+00,2,2.26817918,1,13893.365544215,832.998511626223
21854,2020,CA,CDF,SLU,LAGO,00007007,2020/06/07 00:00:00+00,2020/06/07 00:00:00+00,2.6,2.81483412,1,17098.394609945,725.916606320332
21855,2020,CA,CDF,SLU,TORO,00007099,2020/06/09 00:00:00+00,2020/06/09 00:00:00+00,2,2.01625443,1,12310.65182852,462.137821818157
21856,2020,CA,CDF,SLU,CHOLAME,00010749,2020/08/18 00:00:00+00,2020/08/18 00:00:00+00,3,3.23034263,1,19902.254291815,1302.21052236607
21857,2020,CA,CDF,SLU,TOPAZ,00008346,2020/07/03 00:00:00+00,2020/07/03 00:00:00+00,6,6.89476776,1,42062.344100515,953.310194416738
21858,2020,CA,CDF,SLU,GREEN,00008873,2020/07/12 00:00:00+00,2020/07/12 00:00:00+00,6,6.07705641,1,37234.11079135,772.658446872396
21859,2020,CA,CDF,SLU,DAVIS,00009232,2020/07/19 00:00:00+00,2020/07/19 00:00:00+00,3,3.25628448,1,20046.006991085,1958.74724741235
21860,2020,CA,CDF,SLU,MEADOW,00009368,2020/07/22 00:00:00+00,2020/07/22 00:00:00+00,5,5.03376722,1,30598.8105662,639.259250891925
21861,2020,CA,CDF,SLU,LUCY,00012966,2020/10/02 00:00:00+00,2020/10/02 00:00:00+00,,2.13835073,1,13150.04809896,594.720389742732
21862,2020,CA,CDF,SLU,HILLS,00010322,2020/08/11 00:00:00+00,2020/08/11 00:00:00+00,1.05,1.17515695,1,7133.7545328,362.384025620082
21863,2020,CA,CDF,SLU,SPRING,00010366,2020/08/12 00:00:00+00,2020/08/12 00:00:00+00,3,3.95843768,1,24317.15649479,938.045117089337
21864,2020,CA,CDF,SLU,IV_1,00010554,2020/08/15 00:00:00+00,2020/08/15 00:00:00+00,3,3.04927492,1,18594.520306575,652.907838904937
21865,2020,CA,CDF,SLU,BRIDLE,00010618,2020/08/16 00:00:00+00,2020/08/16 00:00:00+00,2,2.05773377,1,12664.34812756,443.280705379807
21866,2020,CA,CDF,SLU,CORNELL,00010744,2020/08/18 00:00:00+00,2020/08/18 00:00:00+00,2,1.81044602,1,11018.525430865,424.856111639742
21867,2020,CA,CDF,SLU,ENERGY,00011284,2020/08/29 00:00:00+00,2020/08/29 00:00:00+00,7,6.92687798,1,42240.705214465,809.310748555131
21868,2020,CA,CDF,SLU,COUNTRY,00012211,2020/09/17 00:00:00+00,2020/09/17 00:00:00+00,1,1.0168997,1,6153.550337145,322.167413909279
21869,2020,CA,CDF,SLU,DELTA,00013062,2020/10/04 00:00:00+00,2020/10/04 00:00:00+00,7.7,7.60073614,1,46338.195901535,854.738524441772
21870,2020,CA,CDF,SLU,DAVIS,00014581,2020/11/05 00:00:00+00,2020/11/05 00:00:00+00,1,1.11954188,1,6884.136286285,427.005054556233
21871,2020,CA,CDF,NEU,SMARTSVILLE,00015238,2020/07/09 00:00:00+00,2020/07/09 00:00:00+00,6,8.08974361,1,54598.753277545,1248.01323543915
21872,2020,CA,CDF,BEU,POND,00003644,2020/07/26 00:00:00+00,2020/07/26 00:00:00+00,10,7.08605146,1,44869.497395325,1121.27497119702
21873,2020,CA,CCO,VNC,ERBES,00004124,2021/01/14 00:00:00+00,2021/01/15 00:00:00+00,30,26.54850769,1,157568.59701788,2434.75025344746
21874,2020,CA,CCO,VNC,LEWIS,00059179,2020/07/23 00:00:00+00,2020/07/23 00:00:00+00,3.8,3.96736073,1,23507.471086715,836.545590886465
21875,2020,CA,CDF,LMU,GOLD,00003917,2020/07/20 00:00:00+00,2020/10/29 00:00:00+00,22614,22652.55859375,1,161406943.239828,129127.785644877
21876,2020,CA,CCO,VNC,GOODENOUGH,0055722,2020/07/12 00:00:00+00,2020/07/12 00:00:00+00,7,8.41543388,1,50222.55661732,1024.56230916558
21877,2020,CA,CCO,VNC,COCHRAN,0055744,2020/07/12 00:00:00+00,2020/07/13 00:00:00+00,8.9,8.3289957,1,49488.22978946,1114.07307449106
21878,2020,CA,CCO,LAC,TOPANGA,00216968,2020/07/22 00:00:00+00,2020/07/22 00:00:00+00,2.3,2.614254,1,15481.345449495,693.288838759302
21879,2020,CA,CCO,LAC,AIRPORT,00149563,2020/05/21 00:00:00+00,2020/05/21 00:00:00+00,1.8,3.00132632,1,17928.36867656,647.712235665708
21880,2020,CA,CCO,LAC,MESA,00207264,2020/07/13 00:00:00+00,2020/07/13 00:00:00+00,1,1.25053167,1,7389.66572791,341.16433970485
21881,2020,CA,CCO,LAC,COLIMA,00169545,2020/06/09 00:00:00+00,2020/06/09 00:00:00+00,6,6.24524069,1,36841.311985925,913.027198086447
21882,2020,CA,CCO,LAC,HASLEY,00171441,2020/06/11 00:00:00+00,2020/06/11 00:00:00+00,6.7,6.6710515,1,39807.830940625,1091.07305977731
21883,2020,CA,CCO,LAC,HILL,00163511,2020/06/04 00:00:00+00,2020/06/04 00:00:00+00,3.5,3.48555779,1,20568.669197005,556.023711259956
21884,2020,CA,CCO,LAC,210TH,00198391,2020/07/05 00:00:00+00,2020/07/05 00:00:00+00,6,7.06764841,1,42477.212059745,1320.89377393226
21885,2020,CA,CCO,LAC,CALGROVE,00191517,2020/06/30 00:00:00+00,2020/06/30 00:00:00+00,8.6,4.22807217,1,25169.72397888,677.92153119443
21886,2020,CA,CCO,LAC,GROVE,00242462,2020/08/14 00:00:00+00,2020/08/14 00:00:00+00,4.5,1.79894173,1,10619.932253295,613.530621497268
21887,2020,CA,CCO,LAC,TOPANGA,00271897,2020/09/08 00:00:00+00,2020/09/08 00:00:00+00,9.5,6.73228073,1,39790.862357705,861.944455107825
21888,2020,CA,CCO,LAC,PALM,00275442,2020/09/11 00:00:00+00,2020/09/11 00:00:00+00,8.5,8.40678883,1,49643.25250709,935.250203511321
21889,2020,CA,CCO,LAC,NO NAME,00290998,2020/09/26 00:00:00+00,2020/09/26 00:00:00+00,5,3.0133996,1,18110.948008805,777.324041678209
21890,2020,CA,CCO,LAC,WAVE,00307499,2020/10/10 00:00:00+00,2020/10/10 00:00:00+00,5,9.63971043,1,56945.3850607,1635.54493804757
21891,2020,CA,CCO,LAC,TUNA,00343103,2020/11/13 00:00:00+00,2020/11/13 00:00:00+00,1.5,1.23734093,1,7310.7355015,349.771043899235
21892,2020,CA,CCO,LAC,CANYON,00377420,2020/12/13 00:00:00+00,2020/12/13 00:00:00+00,6,7.26888037,1,42854.965313785,1243.21599332172
21893,2020,CA,CCO,LAC,BANNING,00385995,2020/12/20 00:00:00+00,2020/12/20 00:00:00+00,1.15,1.52906549,1,8908.938618795,466.336693906745
21894,2020,CA,CDF,LNU,DUNNIGAN,00009096,2020/06/17 00:00:00+00,2020/06/17 00:00:00+00,5,6.12527609,1,40892.77838666,931.633822783726
21895,2020,CA,CDF,LNU,MONTICELLO,00014225,2020/08/30 00:00:00+00,2020/08/30 00:00:00+00,1,1.08643544,1,7164.328711505,424.206535732369
21896,2020,CA,CDF,LNU,LAWLEY,00010631,2020/07/08 00:00:00+00,2020/07/08 00:00:00+00,2,2.02360415,1,13434.410777145,514.579407920413
21897,2020,CA,CDF,LNU,HUBCAP,00016813,2020/10/10 00:00:00+00,2020/10/10 00:00:00+00,2,2.01777172,1,13405.420301905,489.188905439436
21898,2020,CA,CDF,LNU,SPRING,00014218,2020/08/30 00:00:00+00,2020/08/30 00:00:00+00,1.5,1.70342588,1,11223.60080745,581.942912306909
21899,2020,CA,CDF,LNU,COUNTY ROAD 2,00008435,2020/06/06 00:00:00+00,2020/06/06 00:00:00+00,1,1.24270499,1,8316.239722995,405.368425865596
21900,2020,CA,CDF,LNU,MULE,00009336,2020/06/20 00:00:00+00,2020/06/20 00:00:00+00,7,7.35620403,1,49368.424502115,1085.17318318448
21901,2020,CA,CDF,LNU,CANAL,00014794,2020/09/08 00:00:00+00,2020/09/08 00:00:00+00,4,4.07307673,1,27431.141212265,1554.70137853299
21902,2020,CA,CDF,LNU,MOBILE,00011766,2020/07/26 00:00:00+00,2020/07/26 00:00:00+00,1,1.11940598,1,7423.780156275,453.359695094994
21903,2020,CA,CDF,LNU,OAT,00007873,2020/05/28 00:00:00+00,2020/05/28 00:00:00+00,5,5.63831043,1,37564.272679305,875.104729330505
21904,2020,CA,CDF,LNU,LUCERNE,00015524,2020/09/20 00:00:00+00,2020/09/20 00:00:00+00,4,4.12192965,2,27757.02643147,1011.52601729732
21905,2020,CA,CDF,LNU,GEORGE,00009907,2020/06/28 00:00:00+00,2020/06/28 00:00:00+00,1,1.34643221,1,9030.48174601,356.099508138361
21906,2020,CA,CDF,LNU,EAGLE,00014038,2020/08/27 00:00:00+00,2020/08/27 00:00:00+00,1,1.48266256,1,9954.348458445,434.701220708353
21907,2020,CA,CDF,LNU,HEATHER,00010594,2020/07/08 00:00:00+00,2020/07/08 00:00:00+00,1.5,1.91392899,1,12781.559048235,465.787725426221
21908,2020,CA,CDF,LNU,17-7,00013442,2020/08/17 00:00:00+00,2020/08/17 00:00:00+00,1.5,1.8423059,1,12323.048300615,518.228807176423
21909,2020,CA,CDF,LNU,LYTTON,00016406,2020/10/03 00:00:00+00,2020/10/03 00:00:00+00,2,1.93122399,1,12836.862558955,478.242946063707
21910,2020,CA,CDF,LNU,SPRING,00015145,2020/09/14 00:00:00+00,2020/09/14 00:00:00+00,1,1.29040718,1,8474.376546115,503.309588868444
21911,2020,CA,CDF,LNU,LAKE VIEW,00018168,2020/07/27 00:00:00+00,2020/07/27 00:00:00+00,2,2.30815721,1,15489.145368335,575.948315489413
21912,2020,CA,CDF,LNU,CREEK,00009331,2020/06/20 00:00:00+00,2020/06/20 00:00:00+00,1,1.24752748,1,8258.76465216,511.586706855965
21913,2020,CA,CDF,LNU,ARROW,00012642,2020/08/08 00:00:00+00,2020/08/08 00:00:00+00,6,6.73083687,1,44246.070842655,870.926752495522
21914,2020,CA,CDF,LNU,REDWOOD,00013144,2020/08/15 00:00:00+00,2020/08/15 00:00:00+00,2,2.17881536,1,14449.395897575,514.702024638203
21915,2020,CA,CDF,LNU,CHABLIS,00019556,2020/11/22 00:00:00+00,2020/11/22 00:00:00+00,1,1.33192956,1,8847.994641535,519.687445698857
21916,2020,CA,CDF,LNU,BLUE LAKES,00003390,2020/02/29 00:00:00+00,2020/08/29 00:00:00+00,4,4.36604691,1,29309.70453482,806.267860180512
21917,2020,CA,CDF,LNU,SALMON,00008659,2020/09/10 00:00:00+00,2020/09/10 00:00:00+00,5,5.42920637,1,36258.035174075,788.008616719024
21918,2020,CA,CDF,LNU,STONY,00009198,2020/06/18 00:00:00+00,2020/06/18 00:00:00+00,6,6.58558655,1,43386.152742845,945.095964379039
21919,2020,CA,CDF,LNU,DIGGER/QUAIL,00010627,2020/07/08 00:00:00+00,2020/07/08 00:00:00+00,5,5.71311474,1,37786.658507505,744.209601824752
21920,2020,CA,CDF,LNU,DUNNIGAN,00010745,2020/07/10 00:00:00+00,2020/07/10 00:00:00+00,1.5,1.85123742,1,12351.79334283,412.340978820909
21921,2020,CA,CDF,LNU,LAMB,00010619,2020/07/08 00:00:00+00,2020/07/08 00:00:00+00,1.5,1.7104708,1,11372.1078522,490.737070118209
21922,2020,CA,CDF,LNU,ANNAPOLIS,00002399,2020/02/12 00:00:00+00,2020/02/12 00:00:00+00,2,2.15953445,1,14377.70135897,459.261193206537
21923,2020,CA,CDF,LNU,GAMBLE,00013354,2020/04/02 00:00:00+00,2020/04/02 00:00:00+00,1,1.07066774,1,7104.144326115,329.35892724495
21924,2020,CA,CDF,LNU,FOX,00011856,2020/07/27 00:00:00+00,2020/07/27 00:00:00+00,1.5,1.69686735,1,11247.246070945,543.866884809895
21925,2020,CA,CDF,LNU,13-1,00013249,2020/08/16 00:00:00+00,2020/08/16 00:00:00+00,1,1.20418966,1,8011.593678755,393.058202702782
21926,2020,CA,CDF,LNU,MILL,00006651,2020/05/05 00:00:00+00,2020/05/05 00:00:00+00,1.5,1.69951272,1,11273.291680075,401.829365920739
21927,2020,CA,CDF,LNU,TAYLOR,00013619,2020/08/19 00:00:00+00,2020/08/19 00:00:00+00,1,1.73140049,1,11431.16390423,546.039185015669
21928,2020,CA,CDF,LNU,NEWELL,00009981,2020/06/29 00:00:00+00,2020/06/29 00:00:00+00,2.5,2.56038857,1,16795.35905053,591.864651212239
21929,2020,CA,CDF,LNU,PLEASANTS,00007817,2020/05/27 00:00:00+00,2020/05/27 00:00:00+00,8,8.7006712,1,57423.2709697,1049.61199793784
21930,2020,CA,CDF,LNU,CEMENT,00008139,2020/06/02 00:00:00+00,2020/06/02 00:00:00+00,3,3.50961828,1,23163.369381505,660.835588312161
21931,2020,CA,CDF,LNU,TWIN,00019608,2020/11/23 00:00:00+00,2020/11/23 00:00:00+00,1,1.04291761,1,6863.47939839,353.886045882206
21932,2020,CA,CCO,MRN,PIERCE,00002436,2020/09/27 00:00:00+00,2020/09/27 00:00:00+00,5.6,5.63605976,1,36788.517399965,892.762706098998
